,No,Id,Type,Secteur,Largeur,Hauteur,Soudure,Peinture,Finition,Setup,Finition_Long,Palette
952,C-3312-3362-A112,3362,Plafond,12,43.0,44.5625,60,1.3753858024691359,25,0,1,149
953,C-3312-3363-A1,3363,Mur,12,43.0,44.5625,20,1.3753858024691359,5,0,0,148
954,C-3312-3363-A112,3363,Plafond,12,43.0,44.5625,50,1.3753858024691359,10,0,0,149
955,C-3312-3364-A112,3364,Plafond,12,43.0,44.5625,50,1.3753858024691359,10,0,0,149
956,C-3312-3365-A1,3365,Mur,12,43.0,44.5625,20,1.3753858024691359,5,0,0,148
957,C-3312-3365-A112,3365,Plafond,12,43.0,44.5625,50,1.3753858024691359,10,0,0,149
958,C-3312-3366-A112,3366,Plafond,12,43.0,44.5625,60,1.3753858024691359,25,0,1,149
959,C-3312-3367-A1,3367,Mur,12,43.0,44.5625,20,1.3753858024691359,5,0,0,148
960,C-3312-3367-A112,3367,Plafond,12,22.0,44.5625,20,1.3753858024691359,5,0,0,149
961,C-3312-3368-A1,3368,Mur,12,39.75,117.3125,25,3.6207561728395063,5,0,0,148
962,C-3312-3368-A112,3368,Plafond,12,39.75,117.0,50,3.611111111111111,10,0,0,149
963,C-3312-3369-A112,3369,Plafond,12,43.0,117.0,60,3.611111111111111,25,0,1,150
964,C-3312-3370-A112,3370,Plafond,12,43.0,117.0,50,3.611111111111111,10,0,0,150
965,C-3312-3371-A112,3371,Plafond,12,43.0,117.0,60,3.611111111111111,25,0,1,150
966,C-3312-3372-A112,3372,Plafond,12,43.0,117.0,50,3.611111111111111,10,0,0,150
968,C-3312-3373-A112,3373,Plafond,12,29.0,103.875,50,3.2060185185185186,10,0,0,150
967,C-3312-3373-A1,3373,Mur,12,29.0,99.875,25,3.0825617283950617,5,0,0,148
970,C-3312-3374-A112,3374,Plafond,12,24.125,28.625,20,0.8834876543209877,5,0,0,150
969,C-3312-3374-A1,3374,Mur,12,24.125,29.0,25,0.8950617283950618,5,0,0,151
1019,C-3312-3375-A1,3375,Mur,13,36.25,56.125,20,1.7322530864197532,5,0,0,151
1020,C-3312-3375-A112,3375,Plafond,13,36.25,56.125,50,1.7322530864197532,10,0,0,150
1021,C-3312-3376-A1,3376,Mur,13,28.5,120.0625,25,3.705632716049383,5,0,0,151
1022,C-3312-3376-A112,3376,Plafond,13,28.5,119.75,50,3.6959876543209877,10,0,0,152
1023,C-3312-3377-A112,3377,Plafond,13,43.0,119.75,60,3.6959876543209877,25,0,1,152
1024,C-3312-3378-A1,3378,Mur,13,43.0,120.0625,20,3.705632716049383,5,0,0,151
1025,C-3312-3378-A112,3378,Plafond,13,43.0,119.75,50,3.6959876543209877,10,0,0,152
1026,C-3312-3379-A112,3379,Plafond,13,43.0,119.75,60,3.6959876543209877,25,0,1,152
1027,C-3312-3380-A112,3380,Plafond,13,28.5,116.25,50,3.5879629629629632,10,0,0,152
1028,C-3312-3381-A112,3381,Plafond,13,41.125,116.25,60,3.5879629629629632,25,0,1,152
1029,C-3312-3382-A112,3382,Plafond,13,29.125,116.25,50,3.5879629629629632,10,0,0,152
1030,C-3312-3383-A112,3383,Plafond,13,29.125,116.25,50,3.5879629629629632,10,0,0,153
1031,C-3312-3384-A112,3384,Plafond,13,29.625,116.25,50,3.5879629629629632,10,0,0,153
867,C-3312-3385-A1,3385,Mur,11,31.0,96.9375,20,2.9918981481481484,5,0,0,151
868,C-3312-3385-A112,3385,Plafond,11,31.0,96.9375,50,2.9918981481481484,10,0,0,153
869,C-3312-3386-A112,3386,Plafond,11,43.0,96.9375,60,2.9918981481481484,25,0,1,153
870,C-3312-3387-A1,3387,Mur,11,43.0,96.9375,20,2.9918981481481484,5,0,0,151
871,C-3312-3387-A112,3387,Plafond,11,43.0,96.9375,50,2.9918981481481484,10,0,0,153
872,C-3312-3388-A112,3388,Plafond,11,43.0,96.9375,60,2.9918981481481484,25,0,1,153
873,C-3312-3389-A1,3389,Mur,11,43.0,96.9375,20,2.9918981481481484,5,0,0,151
874,C-3312-3389-A112,3389,Plafond,11,43.0,96.9375,50,2.9918981481481484,10,0,0,153
875,C-3312-3390-A112,3390,Plafond,11,43.0,96.9375,60,2.9918981481481484,25,0,1,154
876,C-3312-3391-A112,3391,Plafond,11,48.1875,61.0,60,1.8827160493827162,25,0,1,154
877,C-3312-3392-A1,3392,Mur,11,24.0625,80.1875,25,2.474922839506173,5,0,0,155
878,C-3312-3392-A112,3392,Plafond,11,24.0625,80.1875,20,2.474922839506173,5,0,0,154
879,C-3312-3393-A112,3393,Plafond,11,43.0,80.1875,60,2.474922839506173,25,0,1,154
880,C-3312-3394-A112,3394,Plafond,11,43.0,80.1875,50,2.474922839506173,10,0,0,154
